link,speaker,date
https://drive.google.com/open?id=0B-KHIkqzJyupLURiVmJheTRPbkk,Tommy,13.09.15
https://drive.google.com/open?id=0B-KHIkqzJyupTFpnOExkM1pWQUk,Simon,20.03.16
https://drive.google.com/open?id=0B-KHIkqzJyupSTFKc20tTUFhX1E,Michael,
https://drive.google.com/open?id=0B-KHIkqzJyupUmNWcHZLREZZUkU,Anthony,06.08.17
https://drive.google.com/open?id=0B-KHIkqzJyupTXBYdnk3UmVCMkE,Stanley,07.05.17
https://drive.google.com/open?id=11I6mr_AtsXNQtswH09BEnPSYb1R98Co9,Saul,
https://drive.google.com/open?id=11oU1aSj21VyS0UtM6Rfbi64eRRegAvrr,Scott,06.05.18
https://drive.google.com/open?id=10HufMUnirL3vqW06i0oidzOFzQ1PS736,Melissa,11.11.18
https://drive.google.com/open?id=16I_NJ7eU_YkPjtSQ6RfmT1bLWO1gJ1Oz,Tony,19.05.18
https://drive.google.com/file/d/1OQVIbdiDsLH1ILoNfax_bSFH-2B3ViK0/view,John,24.11.19
https://drive.google.com/file/d/170M9KfxMUKAkdtvY-PdR6ol4UNPcNCJv/view,Angie,24.05.20
https://drive.google.com/file/d/12rBWYOlxVLMf6_Iv7R4eD01Noqdz1qa7/view?usp=sharing,Charis,22.11.20
https://drive.google.com/file/d/1_4Aw9ZM5x9HokHm7uhWhhbeRBv3tlWY-/view?usp=sharing,Jimmy Jam,23.05.21
